0,1,2,3,4,5,6,7,8,9,10,11,12,13
Union,Tipe KulinerBarat,"
                  Plaza Senayan, Lantai 1, SOGO
                  Jl. Asia Afrika, Senayan, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/union-senayan,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 57905861,4.08,"4.4,4.2,4.0,4.1"
Teapotto,Tipe KulinerKafe,"
                  
                  Jl. Bengawan No. 25, Riau, Bandung
                ",https://pergikuliner.com/restaurants/bandung/teapotto-riau,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (11:00 - 20:00), Jumat - Minggu (09:00 - 21:00) </time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",022 20507169,4.31,"4.1,4.3,4.0,4.7,4.5"
Kopi Konnichiwa,Tipe KulinerKafe,"
                  
                  Jl. Tebet Barat Dalam Raya No. 8, Tebet, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/kopi-konnichiwa-tebet,Cabang: ya,"""Tunai,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",08973368040,4.34,"4.3,4.2,4.2,4.4,4.5"
Hotaru Deli,Tipe KulinerJepang,"
                  Grand ITC Permata Hijau, Blok Ruby No. 7
                  Jl. Letjen Soepeno, Permata Hijau, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/hotaru-deli-permata-hijau,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 19:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",082114633590,4.26,"4.7,4.0,4.3,4.4"
Umaku Sushi,Tipe KulinerJepang,"
                  Ruko Sentra Menteng, Blok MN No. 1
                  Jl. Dr. Sam Ratulangi (Bintaro Sektor 7), Bintaro, Tangerang Selatan
                ",https://pergikuliner.com/restaurants/tangerang/umaku-sushi-bintaro,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Selasa - Minggu (10:00 - 21:00), Senin Tutup</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081212123153,4.28,"5.0,4.8,4.3"
Momo Paradise,Tipe KulinerJepang,"
                  
                  Jl. Senopati No. 92, Senopati, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/momo-paradise-senopati,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 23:00)</time>>","Wifi,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,Vegetarian",021 27936310,4.27,"4.6,4.1,4.4,4.5"
Kimukatsu,Tipe KulinerJepang,"
                  Mal Kelapa Gading 3, Lantai 3
                  Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/kimukatsu-kelapa-gading,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (11:00 - 20:00), Sabtu - Minggu (11:00 - 21:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 45853634,4.3,"4.1,4.3,4.2,4.4,4.6"
Maikeru,Tipe KulinerJepang,"
                  
                  Jl. Tulodong Atas No. 28, Senopati, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/maikeru-senopati,"PembayaranTunai, Visa, Master, Debet, Dana","""Tunai,Visa,Master,Debet,Dana""","<bound method PageElement.get_text of <div class=""promotional-text"">Maikeru - Japanese Grill and Bar is a Japanese restaurant with a modern izakaya
concept that serves authentic - modern Japanese food (No Pork No Lard) such as
yakitori, bento and handcraft drinks such as cocktails, mocktails, and also provides draft
beer.
And also with ""Open Kitchen"" concept, you can see Chef making products.
Maikeru is suitable for lunch and hangout with friends after work or suitable for those
who wants to chillax.
Maikeru provides a VIP room that is suitab<span class=""moreelipses"">...</span><span class=""morecontent""><span>le for meetings or special events with family
and colleagues.</span>  <a class=""morelink"" href="""">selengkapnya</a></span></div>>","
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (11:00 - 15:00, 17:00 - 21:00), Jumat - Sabtu (12:00 - 16:00, 18:00 - 22:00), Minggu (11:00 - 15:00, 17:00 - 21:00)</time>>","100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",08111730228,4.22,"4.2,4.4,4.6,4.5"
LOVEster Shack,Tipe KulinerBarat,"
                  
                  Jl. Terogong Raya No. 36, Pondok Indah, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/lovester-shack-pondok-indah,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081280606036,4.21,"4.5,4.0,4.4,4.3"
Lewis & Carroll Tea,Tipe KulinerKafe,"
                  
                  Jl. Bumi No. 4, Blok M, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/lewis-dan-carroll-tea-blok-m,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Alkohol,Vegetarian",021 2702660,4.13,"4.2,4.4,4.1,4.4"
Fish & Co.,Tipe Kuliner Barat,"
                  Gandaria City, Lantai Ground, Mainstreet Dining
                  Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/fish-dan-co-gandaria,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (11:00 - 22:00), Jumat - Sabtu (11:00 - 23:00), Minggu (11:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",021 29053205,4.15,"4.4,4.1,4.3,4.4"
The Garden,Tipe KulinerKafe,"
                  Ruko Garden House, Blok B No. 27 - 28, Bukit Golf Mediterania
                  Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/the-garden-pantai-indah-kapuk,Cabang: ya,"""Visa,Master,Debet,Ovo""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",081338833308,4.07,"4.1,4.6,4.0,4.2"
Giggle Box,Tipe KulinerKafe,"
                  Bandung Indah Plaza, Lantai 1
                  Jl. Merdeka No. 56, Merdeka, Bandung
                ",https://pergikuliner.com/restaurants/bandung/giggle-box-merdeka,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","Wifi,Area merokok,100% Halal,Area parkir","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian","



",4.31,"4.6,4.4,4.2,4.2,4.2"
Pepper Lunch,Tipe KulinerJepang,"
                  Trans Studio Mall Cibubur, Lantai 3
                  Jl. Raya Alternatif Cibubur No. 230, Cimanggis, Depok
                ",https://pergikuliner.com/restaurants/depok/pepper-lunch-cimanggis,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 2295 6067,4.31,"4.6,4.2,4.4,4.1,4.3"
Sama Dengan,Tipe KulinerKafe,"
                  Kalibata City Square, Tower F
                  Jl. Kalibata Raya No. 1, Kalibata, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/sama-dengan-kalibata,Cabang: ya,"""Tunai,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 24:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",08170700703,4.13,"4.0,4.5,4.1,4.0,4.1"
Kilo Jakarta,"Tipe KulinerBarat,Jepang,Korea,Meksiko","
                  
                  Jl. Gunawarman No. 16, Senopati, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/kilo-jakarta-senopati,"PembayaranTunai, Visa, Master, Debet, Go-pay","""Tunai,Visa,Master,Debet,Go-pay""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (16:00 - 24:00)</time>>","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,24 Jam,100% Halal,Alkohol,Vegetarian",021 72787111,4.35,"4.4,4.6,4.0,4.6,4.2"
Pilona Coffee,Tipe KulinerKafe,"
                  Pasar Lama
                  Jl. Kisamaun No. 130, Kota Tangerang, Tangerang
                    

                      ( Alamat Lama: 
                      Jl. Kisamaun No. 161, Kota Tangerang, Tangerang 
                      )
                    
",https://pergikuliner.com/restaurants/tangerang/pilona-coffee-kota-tangerang-3,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (08:00 - 23:00), Sabtu - Minggu (07:00 - 23:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081997745662,4.47,"4.8,4.9,4.6,4.3"
Bebini Gelati,Tipe KulinerKafe,"
                  
                  Jl. Dharmahusada No. 183 - 185, Gubeng, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/bebini-gelati-gubeng,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (12:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,Area parkir","Pesan antar,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081331756343,4.23,"4.3,4.1,4.4,4.4"
Pancious,Tipe KulinerItalia,"
                  Pakuwon Mall, Lantai 2, Food Society
                  Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/pancious-wiyung,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Vegetarian",031 99148331,4.27,"4.5,4.4,4.2,4.0,4.3"
Orasa's,Tipe KulinerThailand,"
                  ASHTA District 8, Lantai Ground
                  Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/orasa-s-scbd,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",021 50111195,4.3,"4.4,4.4,4.1,4.2,4.4"
Remboelan,Tipe KulinerIndonesia,"
                  Plaza Senayan, Lantai 5
                  Jl. Asia Afrika, Senayan, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/remboelan-senayan,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Alkohol,Vegetarian",021 5725088,4.11,"4.1,4.3,4.1,4.1,4.0"
Remboelan,Tipe KulinerIndonesia,"
                  Central Park, Lantai 1
                  Jl. Letjen S. Parman, Slipi, Jakarta Barat
                ",https://pergikuliner.com/restaurants/jakarta/remboelan-slipi,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 56985190,4.21,"4.2,4.5,4.4,4.2"
Kalav,Tipe KulinerKafe,"
                  Perumnas 3
                  Jl. P Bali Raya No. 7, Bekasi Timur, Bekasi
                ",https://pergikuliner.com/restaurants/bekasi/kalav-bekasi-timur,"PembayaranTunai, Debet, Go-pay, Ovo","""Tunai,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",085880868210,4.4,"4.4,4.3,4.6,4.3,4.3"
Sushi Tei,Tipe KulinerJepang,"
                  
                  Jl. Sumatera No. 9, Sumatera, Bandung
                ",https://pergikuliner.com/restaurants/bandung/sushi-tei-sumatera,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)</time>>","100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Alkohol,Vegetarian",022 4223181,4.27,"4.8,4.2,4.4,4.5"
Chateraise,Tipe KulinerToko Kue,"
                  Central Park, Lantai Lower Ground
                  Jl. Letjen S. Parman, Slipi, Jakarta Barat
                ",https://pergikuliner.com/restaurants/jakarta/chateraise-slipi,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",082123833110,4.07,"4.4,4.1,4.0,4.3"
Baby Face Planets,Tipe KulinerJepang,"
                  
                  Jl. Pluit Sakti Raya No. 22, Pluit, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/baby-face-planets-pluit,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",081990138999,4.72,"4.6,4.8,4.6,4.8,4.8"
Noble by Zab Thai,Tipe KulinerThailand,"
                  
                  Jl. Gunawarman No. 41, Senopati, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/noble-by-zab-thai-senopati,Kapasitas:  50 kursi,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (10:00 - 20:00), Jumat - Minggu (10:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",021 27939193,4.14,"4.2,4.3,4.2,4.3"
Waroeng Pati Surabaya - Deka Hotel,Tipe KulinerIndonesia,"
                  Deka Hotel
                  Jl. HR Muhammad No. 24, Dukuh Pakis, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/waroeng-pati-surabaya-deka-hotel-dukuh-pakis,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",,4.57,"4.7,4.7,4.5,4.5,4.5"
Ocean 8 Seafood & Dimsum Bar,Tipe KulinerChina,"
                  Pluit Junction, Lantai Ground
                  Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/ocean-8-seafood-dan-dimsum-bar-pluit,"PembayaranTunai, Visa, Master, Debet, Go-pay, Ovo, Dana","""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (07:00 - 21:00)</time>>","Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",085192496146,4.31,"4.6,4.5,4.0,4.6"
Komune Cafe,Tipe KulinerKafe,"
                  
                  Jl. Kelapa Gading Barat Blok AJ11 No. 2 (Depan Sekolah BPK Penabur), Gading Serpong, Serpong, Tangerang
                ",https://pergikuliner.com/restaurants/tangerang/komune-cafe-gading-serpong,Kapasitas:  50 kursi,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Selasa - Minggu (09:00 - 21:00), Senin Tutup</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Alkohol,Vegetarian",087788142999,4.27,"4.3,4.3,4.2,4.3,4.3"
Jack & John,Tipe KulinerIndonesia,"
                  Pakuwon Mall, Lantai 2M, Little Tokyo Pakuwon Mall
                  Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/jack-dan-john-wiyung,Cabang: ya,"""Tunai,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>",Area parkir,"Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",087775549555,4.23,"4.6,4.0,4.4,4.0,4.1"
Cafe Phyto Organic,Tipe KulinerKafe,"
                  Ruko The Plaza, No. 9AP - AR
                  Jl. Pantai Indah Utara II, Pantai Indah Kapuk, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/cafe-phyto-organic-pantai-indah-kapuk,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 18:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",087720667326,4.22,"4.1,4.1,4.3,4.3,4.3"
B'Steak Grill & Pancake,Tipe KulinerBarat,"
                  Ruko Golden 8, Blok F No. 3
                  Jl. Ki Hajar Dewantara, Gading Serpong, Serpong, Tangerang
                ",https://pergikuliner.com/restaurants/tangerang/b-steak-grill-dan-pancake-gading-serpong,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","24 Jam,Vegetarian",021 29419075,4.06,"4.2,4.3,4.1"
Kongkow Coffee & Eatery,Tipe KulinerKafe,"
                  
                  Jl. Gandaria I No. 59A, Gandaria, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/kongkow-coffee-dan-eatery-gandaria,Kapasitas:  30 kursi,"""Tunai,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (07:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",087878770910,4.16,"4.1,4.2,4.4,4.3"
Ombe Kofie,Tipe KulinerKafe,"
                  Arcade Business Center
                  Jl. Pantai Utara I No. 2, Pantai Indah Kapuk, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/ombe-kofie-pantai-indah-kapuk,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 20:00)</time>>","Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Vegetarian",081386036021,4.21,"4.3,4.4,4.4,4.2"
Shaburi Shabu Shabu,Tipe KulinerJepang,"
                  Grand Indonesia Mall, Lantai 3A, West Mall
                  Jl. MH Thamrin, Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/shaburi-shabu-shabu-thamrin,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 23581265,4.11,"4.5,4.1,4.1,4.1"
Custom Coffee Garage,Tipe KulinerKafe,"
                  Pasar Besi Kebon Sirih
                  Jl. Aceh No. 24A, Aceh, Bandung
                ",https://pergikuliner.com/restaurants/bandung/custom-coffee-garage-aceh,"PembayaranTunai, Debet","""Tunai,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 22:30), Minggu (10:00 - 22:00)</time>>","Area merokok,Area outdoor,100% Halal","Wifi,Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Area parkir,Alkohol,Vegetarian","



",4.15,"4.6,4.0,4.3,4.4"
Maison Feerie,Tipe KulinerToko Roti dan Kue,"
                  Supermal Pakuwon Indah, Lantai Lower Ground
                  Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/maison-feerie-wiyung,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081338000830,4.32,"4.4,4.1,4.5,4.1,4.5"
Sushi Tei,Tipe KulinerJepang,"
                  Bintaro Jaya Xchange Mall, Lantai Ground
                  Jl. Boulevard Bintaro Jaya, Bintaro, Tangerang Selatan
                ",https://pergikuliner.com/restaurants/tangerang/sushi-tei-bintaro,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Alkohol,Vegetarian",021 29864959,4.22,"4.7,4.2,4.1,4.3"
Tiger Sugar,Tipe KulinerBubble Tea,"
                  Emporium Pluit Mall, Lantai 4
                  Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/tiger-sugar-pluit,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 66676501,4.21,"4.3,4.2,4.1,4.3,4.3"
